Software Version,2.01.14,,,,,,,
,,,,,,,,
Experiment File Path:,C:\Users\Public\Documents\Experiments\PWS Sept 15 and 16.xpt,,,,,,,
Protocol File Path:,C:\Users\Public\Documents\Protocols\Microcystin ELISA.prt,,,,,,,
Plate Number,Plate 1,,,,,,,
Date,9/16/14,,,,,,,
Time,2:41:52 PM,,,,,,,
Reader Type:,ELx800,,,,,,,
Reader Serial Number:,Unknown,,,,,,,
Reading Type,Reader,,,,,,,
,,,,,,,,
Procedure Details,,,,,,,,
Plate Type,96 WELL PLATE,,,,,,,
Read,Absorbance Endpoint,,,,,,,
,Full Plate,,,,,,,
,Wavelengths: 450,,,,,,,
,Read Speed: Normal,,,,,,,
,,,,,,,,
Results,,,,,,,,
,,,,,,,,
,,1,2,3,4,5,6,
,A,0.342,0.395,0.937,0.816,0.527,0.409,450
,B,0.432,0.486,1.429,1.479,1.329,1.416,450
,C,0.72,0.637,0.498,0.53,1.293,1.263,450
,D,0.917,1.079,1.458,1.537,0.614,0.726,450
,E,1.14,1.238,1.347,1.27,0.813,0.824,450
,F,1.455,1.337,1.404,1.389,1.15,1.123,450
,G,0.674,0.744,1.315,1.325,1.157,1.173,450
,H,1.394,1.468,1.424,1.409,0.247,0.239,450
,,,,,,,,
,,,,,,,,
,,ABS,conc,%B/Bo,Dilution Factor,Microcystin Concentration,,
,Standard 5,0.3685,5,0.263968481,1,5,,
,Standard 4,0.459,2,0.328796562,1,2,,
,Standard 3,0.6785,1,0.486031519,1,1,,
,Standard 2,0.998,0.4,0.714899713,1,0.4,,
,Standard 1,1.189,0.15,0.851719198,1,0.15,,
,Standard 0,1.396,0,1,1,0,,
,Positive Control,0.709,1.15683641,0.507879656,1,1.15683641,,
,PIB F,1.431,0.062830065,1.025071633,1,0.062830065,,
,PIB R,0.8765,0.530926276,0.62786533,1,0.530926276,,
,LEU F,1.454,0.057507195,1.041547278,1,0.057507195,,
,LEU R,0.514,2.142722937,0.368194842,1,2.142722937,,
,MH F,1.4975,0.048641882,1.072707736,1,0.048641882,,
,MH R,1.3085,0.100677094,0.937320917,1,0.100677094,,
,KI F #1,1.3965,0.071752246,1.000358166,1,0.071752246,,
,KI F #2,1.32,0.096318122,0.945558739,1,0.096318122,,
,CP F,1.4165,0.0664362,1.014684814,1,0.0664362,,
,CP R,0.468,2.557741644,0.335243553,1,2.557741644,,
,VER F ,1.3725,0.078695947,0.983166189,1,0.078695947,,
,VER R,1.278,0.113217228,0.915472779,1,0.113217228,,
,BIM Int.,0.67,1.17545607,0.479942693,1,1.17545607,,
,BIM Int. 1/2,0.8185,0.66371756,0.586318052,2,1.327435119,,
,BIM Int. x5,1.1365,0.195179796,0.814111748,5,0.975898982,,
,BIM Int x10,1.165,0.174902527,0.834527221,10,1.749025272,,
,CC064,0.243,6.080681746,0.174068768,1,6.080681746,,
