Software Version,2.01.14,,,,,,,,,
,,,,,,,,,,
Experiment File Path:,"C:\Users\Public\Documents\Experiments\CC024-027, SL28-83, Katie Exp..xpt",,,,,,,,,
Protocol File Path:,C:\Users\Public\Documents\Protocols\Microcystin ELISA.prt,,,,,,,,,
Plate Number,Plate 1,,,,,,,,,
Date,7/31/14,,,,,,,,,
Time,2:52:23 PM,,,,,,,,,
Reader Type:,ELx800,,,,,,,,,
Reader Serial Number:,Unknown,,,,,,,,,
Reading Type,Reader,,,,,,,,,
,,,,,,,,,,
Procedure Details,,,,,,,,,,
Plate Type,96 WELL PLATE,,,,,,,,,
Read,Absorbance Endpoint,,,,,,,,,
,Full Plate,,,,,,,,,
,Wavelengths: 450,,,,,,,,,
,Read Speed: Normal,,,,,,,,,
,,,,,,,,,,
Results,,,,,,,,,,
,,,,,,,,,,
,,5,6,7,8,9,10,11,12,
,A,0.316,0.3,0.33,0.342,0.182,0.217,0.394,0.383,450
,B,0.383,0.368,1.016,0.922,0.589,0.568,0.171,0.17,450
,C,0.523,0.539,1.019,0.963,0.878,0.859,0.855,1.139,450
,D,0.61,0.61,0.985,0.94,0.894,0.793,1.13,1.044,450
,E,0.744,0.692,0.891,0.968,0.431,0.405,, ,450
,F,1.21,1.21,0.389,0.408,0.906,0.884,, ,450
,G,0.516,0.651,1.189,1.14,0.671,0.494,, ,450
,H,0.818,0.9,0.246,0.298,0.247,0.251,, ,450
,,,,,,,,,,
,,,,,,,,,,
,,ABS,conc,%B/Bo,,,,,,
,Standard 5,0.308,5,0.254545455,,,,,,
,Standard 4,0.3755,2,0.310330579,,,,,,
,Standard 3,0.531,1,0.438842975,,,,,,
,Standard 2,0.61,0.4,0.504132231,,,,,,
,Standard 1,0.718,0.15,0.59338843,,,,,,
,Standard 0,1.21,0,1,,,,,,
,PC,0.5835,0.493925403,0.482231405,,,,,,
,Avon Initial 1,0.859,0.053892979,0.709917355,,,,,,
,Avon Initial 2,0.336,3.614149268,0.27768595,,,,,,
,Katie #4,0.969,0.022252509,0.800826446,,,,,,
,Katie #5,0.991,0.018644397,0.819008264,,,,,,
,Katie #6,0.9625,0.02344655,0.795454545,,,,,,
,Katie #7,0.9295,0.030572074,0.768181818,,,,,,
,Katie #8,0.3985,2.186438249,0.329338843,,,,,,
,Katie #9,1.1645,0.004619915,0.962396694,,,,,,
,CC024,0.272,6.046630182,0.224793388,,,,,,
,CC025,0.1995,10.83191631,0.164876033,,,,,,
,CC026,0.5785,0.514189108,0.478099174,,,,,,
,CC027,0.8685,0.049929282,0.717768595,,,,,,
,SL066,0.8435,0.061046795,0.697107438,,,,,,
,SL071,0.418,1.869120621,0.345454545,,,,,,
,SL072,0.895,0.040346821,0.739669421,,,,,,
,SL073,0.5825,0.497913229,0.481404959,,,,,,
,SL077,0.249,7.27505618,0.205785124,,,,,,
,SL080,0.3885,2.369519217,0.32107438,,,,,,
,SL083,0.277,5.808338228,0.22892562,,,,,,
,SL028,0.1705,13.676723,0.140909091,,,,,,
