Software Version,2.01.14,,,,,,,
,,,,,,,,
Experiment File Path:,C:\Users\Public\Documents\Experiments\PWS Sept 29 and 30.xpt,,,,,,,
Protocol File Path:,C:\Users\Public\Documents\Protocols\Microcystin ELISA.prt,,,,,,,
Plate Number,Plate 1,,,,,,,
Date,9/30/14,,,,,,,
Time,10:52:48 AM,,,,,,,
Reader Type:,ELx800,,,,,,,
Reader Serial Number:,Unknown,,,,,,,
Reading Type,Reader,,,,,,,
,,,,,,,,
Procedure Details,,,,,,,,
Plate Type,96 WELL PLATE,,,,,,,
Read,Absorbance Endpoint,,,,,,,
,Full Plate,,,,,,,
,Wavelengths: 450,,,,,,,
,Read Speed: Normal,,,,,,,
,,,,,,,,
Results,,,,,,,,
,,,,,,,,
,,1,2,3,4,5,6,
,A,0.107,0.105,0.218,0.203,0.178,0.196,450
,B,0.121,0.123,0.258,0.255,0.226,0.281,450
,C,0.161,0.162,0.199,0.195,0.243,0.256,450
,D,0.196,0.187,0.276,0.254,0.214,0.252,450
,E,0.234,0.248,0.278,0.257,0.214,0.239,450
,F,0.243,0.288,0.263,0.24,0.131,0.124,450
,G,0.181,0.177,0.282,0.249,0.197,0.178,450
,H,0.271,0.258,0.263,0.246, , ,450
,,,,,,,,
,,,,,,,,
,,ABS,conc,%B/Bo,Dilution Factor,Microcystin Concentration,,
,Standard 5,0.106,5,0.399246704,1,5,,
,Standard 4,0.122,2,0.459510358,1,2,,
,Standard 3,0.1615,1,0.608286252,1,1,,
,Standard 2,0.1915,0.4,0.721280603,1,0.4,,
,Standard 1,0.241,0.15,0.907721281,1,0.15,,
,Standard 0,0.2655,0,1,1,0,,
,Positive Control,0.179,0.628275543,0.674199623,1,0.628275543,,
,PIB F,0.2645,0.075150089,0.996233522,1,0.075150089,,
,PIB R,0.2105,0.287332433,0.792843691,1,0.287332433,,
,LEU F,0.2565,0.091668295,0.966101695,1,0.091668295,,
,LEU R,0.197,0.401789365,0.741996234,1,0.401789365,,
,MH F,0.265,0.07422264,0.998116761,1,0.07422264,,
,MH R,0.2675,0.069754284,1.007532957,1,0.069754284,,
,KI F,0.2515,0.103788727,0.947269303,1,0.103788727,,
,KI R,0.2655,0.073306637,1,1,0.073306637,,
,CP F,0.2545,0.096336656,0.958568738,1,0.096336656,,
,CP R,0.187,0.515063177,0.70433145,1,0.515063177,,
,VER F ,0.2535,0.098759248,0.95480226,1,0.098759248,,
,VER R,0.2495,0.109074341,0.939736347,1,0.109074341,,
,CC075,0.233,0.164321733,0.877589454,1,0.164321733,,
,CC076,0.2265,0.193110259,0.853107345,1,0.193110259,,
,CC077,0.1275,2.25756252,0.480225989,1,2.25756252,,
,BIM Exp. Int.,0.1875,0.508706631,0.706214689,5,2.543533157,,
,,,,,,,,
