Software Version,2.01.14,,,,,
,,,,,,
Experiment File Path:,C:\Users\Public\Documents\Experiments\PWS Aug 25.xpt,,,,,
Protocol File Path:,C:\Users\Public\Documents\Protocols\Microcystin ELISA.prt,,,,,
Plate Number,Plate 1,,,,,
Date,8/25/14,,,,,
Time,2:40:35 PM,,,,,
Reader Type:,ELx800,,,,,
Reader Serial Number:,Unknown,,,,,
Reading Type,Reader,,,,,
,,,,,,
Procedure Details,,,,,,
Plate Type,96 WELL PLATE,,,,,
Read,Absorbance Endpoint,,,,,
,Full Plate,,,,,
,Wavelengths: 450,,,,,
,Read Speed: Normal,,,,,
,,,,,,
Results,,,,,,
,,,,,,
,,1,2,3,4,
,A,0.26,0.19,0.747,0.788,450
,B,0.33,0.292,1.047,0.982,450
,C,0.45,0.479,0.811,0.754,450
,D,0.722,0.596,, ,450
,E,0.786,0.819, , ,450
,F,0.903,0.955, , ,450
,G,0.368,0.507, , ,450
,H,0.803,0.927, , ,450
,,,,,,
,,,,,,
,,ABS,conc,%B/Bo,Dilution Factor,Microcystin Concentration
,Standard 5,0.225,5,0.24219591,1,5
,Standard 4,0.311,2,0.334768568,1,2
,Standard 3,0.4645,1,0.5,1,1
,Standard 2,0.659,0.4,0.709364909,1,0.4
,Standard 1,0.8025,0.15,0.863832078,1,0.15
,Standard 0,0.929,0,1,1,0
,Positive Control,0.4375,1.365190188,0.470936491,1,1.365190188
,KI F,0.865,0.109572498,0.931108719,1,0.109572498
,KI R,0.7675,0.190285709,0.826157158,1,0.190285709
,CP F,1.0145,0.04700613,1.092034446,1,0.04700613
,CP R,0.7825,0.174794813,0.842303552,1,0.174794813
